incident_id,outage_start,planned,outage_end,region,postcodes
INCD-20326-O,2025-04-09T06:15:00,Planned,2025-04-09T16:45:00,UK Power Networks,SG12 0;SG12 7
INCD-99194-C,2025-04-09T09:00:00,Planned,2025-04-09T16:00:00,UK Power Networks,NR13 4
INCD-324528-U,2025-04-09T09:00:00,Planned,2025-04-09T14:00:00,UK Power Networks,DA1 3O;DA13 0;TW11 9
INCD-90837-V,2025-04-09T09:00:00,Planned,2025-04-09T15:00:00,UK Power Networks,CT21 4
INCD-90842-V,2025-04-09T09:00:00,Planned,2025-04-09T13:00:00,UK Power Networks,TN31 6
INCD-324530-U,2025-04-09T09:00:00,Planned,2025-04-09T12:00:00,UK Power Networks,BR8 8;CT13 9;DA4 0
INCD-99282-C,2025-04-09T09:00:00,Planned,2025-04-09T12:00:00,UK Power Networks,HP18 0
