Timestamp,Region,Intensity Forecast,Intensity Index,Fuel,Fuel Percentage
2025-04-07 13:13:34,South England,98,low,imports,28.5
2025-04-07 13:13:34,South England,98,low,gas,20.2
2025-04-07 13:13:34,South England,98,low,nuclear,0
2025-04-07 13:13:34,South England,98,low,other,0
2025-04-07 13:13:34,South England,98,low,hydro,0.1
2025-04-07 13:13:34,South England,98,low,solar,49.7
2025-04-07 13:13:34,South England,98,low,wind,1.6
2025-04-07 13:13:34,London,129,moderate,biomass,0
2025-04-07 13:13:34,London,129,moderate,coal,0
2025-04-07 13:13:34,London,129,moderate,imports,40.9
2025-04-07 13:13:34,London,129,moderate,gas,18.8
2025-04-07 13:13:34,London,129,moderate,nuclear,6.1
2025-04-07 13:13:34,London,129,moderate,other,0
2025-04-07 13:13:34,London,129,moderate,hydro,0.2
2025-04-07 13:13:34,London,129,moderate,solar,26.7
2025-04-07 13:13:34,London,129,moderate,wind,7.2
2025-04-07 13:13:34,South East England,126,moderate,biomass,0
2025-04-07 13:13:34,South East England,126,moderate,coal,0
2025-04-07 13:13:34,South East England,126,moderate,imports,48.6
2025-04-07 13:13:34,South East England,126,moderate,gas,20.5
2025-04-07 13:13:34,South East England,126,moderate,nuclear,0
2025-04-07 13:13:34,South East England,126,moderate,other,0
2025-04-07 13:13:34,South East England,126,moderate,hydro,0.3
2025-04-07 13:13:34,South East England,126,moderate,solar,23
2025-04-07 13:13:34,South East England,126,moderate,wind,7.7
2025-04-07 13:13:34,England,116,moderate,biomass,8.5
2025-04-07 13:13:34,England,116,moderate,coal,0
2025-04-07 13:13:34,England,116,moderate,imports,17.6
2025-04-07 13:13:34,England,116,moderate,gas,20.3
2025-04-07 13:13:34,England,116,moderate,nuclear,13.5
2025-04-07 13:13:34,England,116,moderate,other,0
2025-04-07 13:13:34,England,116,moderate,hydro,0
2025-04-07 13:13:34,England,116,moderate,solar,36
2025-04-07 13:13:34,England,116,moderate,wind,4.1
2025-04-07 13:13:34,Scotland,89,low,biomass,4.3
2025-04-07 13:13:34,Scotland,89,low,coal,0
2025-04-07 13:13:34,Scotland,89,low,imports,4.9
2025-04-07 13:13:34,Scotland,89,low,gas,19.4
2025-04-07 13:13:34,Scotland,89,low,nuclear,28.4
2025-04-07 13:13:34,Scotland,89,low,other,0
2025-04-07 13:13:34,Scotland,89,low,hydro,0
2025-04-07 13:13:34,Scotland,89,low,solar,32
2025-04-07 13:13:34,Scotland,89,low,wind,11
2025-04-07 13:13:34,Wales,191,high,biomass,0.4
2025-04-07 13:13:34,Wales,191,high,coal,0
2025-04-07 13:13:34,Wales,191,high,imports,0.8
2025-04-07 13:13:34,Wales,191,high,gas,47.9
2025-04-07 13:13:34,Wales,191,high,nuclear,0.8
2025-04-07 13:13:34,Wales,191,high,other,0
2025-04-07 13:13:34,Wales,191,high,hydro,0
2025-04-07 13:13:34,Wales,191,high,solar,36.8
2025-04-07 13:13:34,Wales,191,high,wind,13.2
2025-04-07 13:13:34,GB,121,moderate,biomass,7.6
2025-04-07 13:13:34,GB,121,moderate,coal,0
2025-04-07 13:13:34,GB,121,moderate,imports,15.4
2025-04-07 13:13:34,GB,121,moderate,gas,21.9
2025-04-07 13:13:34,GB,121,moderate,nuclear,14.1
2025-04-07 13:13:34,GB,121,moderate,other,0
2025-04-07 13:13:34,GB,121,moderate,hydro,0
2025-04-07 13:13:34,GB,121,moderate,solar,35.7
2025-04-07 13:13:34,GB,121,moderate,wind,5.3
2025-04-07 13:45:08,North Scotland,169,moderate,biomass,4.5
2025-04-07 13:45:08,North Scotland,169,moderate,coal,0
2025-04-07 13:45:08,North Scotland,169,moderate,imports,5.3
2025-04-07 13:45:08,North Scotland,169,moderate,gas,41.4
2025-04-07 13:45:08,North Scotland,169,moderate,nuclear,19.2
2025-04-07 13:45:08,North Scotland,169,moderate,other,0
2025-04-07 13:45:08,North Scotland,169,moderate,hydro,0
2025-04-07 13:45:08,North Scotland,169,moderate,solar,10.4
