incident_id,outage_start,planned,outage_end,region,postcodes
INCD-99196-C,2025-04-07T23:00:00,Planned,2025-04-08T02:00:00,UK Power Networks,AL1 4
INCD-324406-U,2025-04-08T08:30:00,Planned,2025-04-08T16:00:00,UK Power Networks,TN38 9
INCD-20401-O,2025-04-08T09:00:00,Planned,2025-04-08T17:00:00,UK Power Networks,CO10 5
INCD-324520-U,2025-04-08T09:00:00,Planned,2025-04-08T12:00:00,UK Power Networks,TN11 9;TN12 8;TN12 9;TN9 1
INCD-324526-U,2025-04-08T09:00:00,Planned,2025-04-08T11:00:00,UK Power Networks,RH17 5;RH17 6
INCD-99275-C,2025-04-08T09:00:00,Planned,2025-04-08T12:00:00,UK Power Networks,CO7 0
INCD-98853-C,2025-04-08T09:00:00,Planned,2025-04-08T12:00:00,UK Power Networks,IP13 7;IP13 9
INCD-20363-O,2025-04-08T09:00:00,Planned,2025-04-08T15:00:00,UK Power Networks,CB8 7
INCD-99331-C,2025-04-08T09:00:00,Planned,2025-04-08T14:00:00,UK Power Networks,NR18 9
